Iteration	Posterior	Likelihood	Prior	clock_rate[1]	clock_rate[2]	clock_rate[3]	clock_rate[4]	extinction	kappa[1]	kappa[2]	kappa[3]	kappa[4]	Ne[1]	Ne[2]	Ne[3]	Ne[4]	Ne[5]	Ne[6]	Ne[7]	Ne[8]	Ne[9]	Ne[10]	Ne[11]	Ne[12]	Ne[13]	Ne[14]	Ne[15]	Ne[16]	Ne[17]	Ne[18]	Ne[19]	relativeExtinction	root	speciation
100	-3097.57	-2837.53	-260.042	9.31217e-05	0.000284741	0.000349005	0.00023029	0.3749189	1.25295	4.53466	1.56468	1.66169	10	10	10	10	10	10	10	10	10	10	447.413	55.5888	211.818	420.178	52.8546	25.409	420.193	0.752727	46.8663	0.522206	8.272924	0.7179522
110	-3125.05	-2852.11	-272.941	0.000109401	0.000170799	0.000238375	0.000298407	0.1717969	2.08002	1.89062	3.17564	0.926341	10	10	10	10	10	10	10	10	10	10	369.523	54.0054	238.049	411.077	46.348	24.4406	320.507	1.40283	50.4838	0.449567	8.272924	0.3821387
120	-3097.78	-2841.93	-255.843	0.000137399	0.000198425	0.000183085	0.000256961	0.09244245	2.71474	2.59537	2.3836	2.18144	10	10	10	10	10	10	10	10	10	10	439.783	58.8796	245.028	395.59	55.5452	19.8581	254.729	1.99742	34.2168	0.2362845	8.272924	0.3912336
130	-3085.49	-2839.98	-245.51	8.29819e-05	0.00035623	0.000391611	0.000411038	0.111203	1.09003	2.81593	2.53626	1.43853	10	10	10	10	10	10	10	10	10	10	495.544	61.1606	241.008	429.973	52.1831	19.7467	258.508	2.46186	36.9036	0.2108936	8.272924	0.5272943
140	-3065.71	-2839.08	-226.629	0.000153285	0.000378317	0.000439639	0.000551966	0.1796532	0.76343	5.05281	2.24416	1.07763	10	10	10	10	10	10	10	10	10	10	436.583	44.424	217.908	400.763	41.6541	16.6623	237.291	3.51008	33.6442	0.2866695	8.272924	0.6266911
150	-3075.48	-2846.27	-229.204	8.56713e-05	0.000633597	0.000344334	0.000297738	7.713518e-05	2.94327	4.70502	1.5797	1.33749	10	10	10	10	10	10	10	10	10	10	364.689	58.924	238.279	351.825	42.6022	21.0555	231.792	2.79309	28.2589	0.0001962253	8.272924	0.3930949
160	-3072.29	-2844.24	-228.058	0.000135116	0.000347849	0.000282377	0.00044337	0.01827835	1.47016	1.69567	2.29931	1.09328	10	10	10	10	10	10	10	10	10	10	342.709	41.678	169.131	301.352	37.5623	20.4696	210.319	1.78388	20.7126	0.07098907	8.272924	0.2574812
170	-3074.48	-2852.79	-221.696	0.000195211	0.000560472	0.00058732	0.000438945	0.1520059	2.54861	1.90728	2.86922	1.0423	10	10	10	10	10	10	10	10	10	10	360.917	45.3499	159.014	372.168	35.3564	15.3243	216.344	1.10141	21.9172	0.3169142	8.272924	0.4796438
180	-3072.59	-2842.07	-230.522	0.000165846	0.000288605	0.000382533	0.000523627	0.1253604	1.40318	1.71261	2.66591	2.21171	10	10	10	10	10	10	10	10	10	10	395.692	45.1451	127.001	363.617	33.6107	16.8402	200.265	2.6967	16.0446	0.4114124	8.272924	0.3047075
190	-3082.56	-2861.29	-221.272	0.000195094	0.000373674	0.000499298	0.000529105	0.006791244	4.2041	6.09914	1.28406	1.50452	10	10	10	10	10	10	10	10	10	10	333.397	43.949	121.368	454.581	37.6546	16.4759	203.416	4.04224	11.7778	0.01643156	8.272924	0.4133048
200	-3072.29	-2848.92	-223.363	0.000204504	0.000213613	0.000425835	0.000424036	0.2507592	0.636227	2.70849	2.06623	1.19317	10	10	10	10	10	10	10	10	10	10	366.854	43.8833	116.981	332.12	26.1669	20.5293	160.128	2.89275	10.7756	0.3246274	8.272924	0.7724523
210	-3074.93	-2844.96	-229.972	0.000146264	0.000428458	0.000193153	0.000503471	0.003843697	1.96564	3.92041	2.92694	1.9585	10	10	10	10	10	10	10	10	10	10	449.029	64.686	93.334	314.246	26.5111	21.1611	163.482	3.67587	13.797	0.01391443	8.272924	0.2762381
220	-3069.73	-2855.49	-214.241	0.000203881	0.000514914	0.0002252	0.00061483	0.03328841	1.59464	2.32184	3.40395	1.19509	10	10	10	10	10	10	10	10	10	10	332.74	75.8756	111.254	350.317	26.9011	14.6035	144.799	2.87669	11.212	0.07708766	8.272924	0.4318254
230	-3062.32	-2844.16	-218.161	0.000136394	0.000499254	0.000521945	0.000737408	0.2420493	4.01659	4.95172	2.54868	1.52693	10	10	10	10	10	10	10	10	10	10	191.7	98.9678	157.024	608.402	26.214	11.0961	103.737	0.556682	12.5638	0.4883299	8.272924	0.4956676
240	-3056.41	-2848.1	-208.307	0.000182604	0.000588016	0.000451703	0.000623802	0.0546523	2.80658	1.302	0.798152	1.99665	10	10	10	10	10	10	10	10	10	10	149.95	139.2	137.724	507.265	14.2159	7.52382	102.579	1.01276	12.4906	0.101715	8.272924	0.5373082
250	-3054.51	-2858.15	-196.358	0.000103099	0.000596996	0.000291849	0.00113956	0.4197901	2.37756	3.37404	1.20316	1.34676	10	10	10	10	10	10	10	10	10	10	121.074	153.634	263.949	647.938	14.0231	14.5066	70.0075	0.751259	9.42212	0.5615465	8.272924	0.7475606
260	-3034.93	-2845.73	-189.202	0.000175773	0.000490786	0.000501808	0.000826933	0.05646908	2.05629	3.50967	1.34846	2.45704	10	10	10	10	10	10	10	10	10	10	142.189	182.24	147.786	423.145	11.1885	21.0512	51.6048	0.3951	6.54364	0.1818299	8.272924	0.3105599
270	-3051.24	-2847.03	-204.212	0.000172163	0.000400327	0.000450665	0.000560593	0.41391	3.43128	3.59531	1.92999	0.957268	10	10	10	10	10	10	10	10	10	10	130.568	160.669	309.305	559.529	11.3937	20.9956	45.9887	7.20386	8.16701	0.6526993	8.272924	0.6341511
280	-3066.27	-2851.48	-214.787	0.000222305	0.000351425	0.000229596	0.000636643	0.1525243	0.741004	3.67069	2.37813	1.08981	10	10	10	10	10	10	10	10	10	10	117.09	265.25	307.973	343.915	9.14909	22.5253	35.9675	2.51284	11.5693	0.3011468	8.272924	0.5064784
290	-3063.49	-2852.15	-211.347	0.000136465	0.00045103	0.000527708	0.000515657	0.2376603	2.32418	1.26248	5.21295	1.52142	10	10	10	10	10	10	10	10	10	10	117.01	229.681	341.29	313.799	10.1585	35.9857	58.2422	4.37411	12.3879	0.4681793	8.272924	0.5076267
300	-3064.47	-2847.79	-216.678	0.000152024	0.000507016	0.000455341	0.000676001	0.0635841	1.4688	3.14046	3.05611	1.52295	10	10	10	10	10	10	10	10	10	10	120.11	210.351	272.402	351.66	8.44035	43.2994	52.3353	8.96837	11.4426	0.1622806	8.272924	0.3918157
310	-3057.5	-2845.29	-212.211	0.000126951	0.000433638	0.00037436	0.00066201	0.2802817	3.33368	2.34736	1.75552	2.16247	10	10	10	10	10	10	10	10	10	10	71.2294	269.013	253.043	355.599	10.7515	67.9475	41.6969	9.6027	7.50511	0.5751197	8.272924	0.4873449
320	-3064.65	-2854.99	-209.659	6.93531e-05	0.000362626	0.000398678	0.000607911	1.074023	1.43772	3.30817	0.966305	1.36748	10	10	10	10	10	10	10	10	10	10	56.9511	242.79	299.622	418.746	8.67738	53.4742	73.5502	18.1354	9.13664	0.8607641	8.272924	1.247756
330	-3049.44	-2844.63	-204.807	0.000196382	0.000349189	0.000658734	0.000616058	0.04709523	2.85265	2.3563	2.52235	1.47387	10	10	10	10	10	10	10	10	10	10	52.4377	368.297	302.284	356.538	11.7979	59.2423	50.5527	13.0834	10.6278	0.08164859	8.272924	0.5768039
340	-3059.52	-2848.72	-210.798	0.000226837	0.000445566	0.000464406	0.000794612	0.1723369	3.88902	3.60392	1.55571	1.47035	10	10	10	10	10	10	10	10	10	10	83.9262	597.989	294.907	247.446	12.3965	73.1157	52.5148	17.0407	9.92386	0.3021715	8.272924	0.5703283
350	-3066.58	-2856.27	-210.311	0.000212638	0.000498285	0.000607142	0.000727423	0.1247165	2.30308	3.05879	1.42772	0.995908	10	10	10	10	10	10	10	10	10	10	86.9501	442.046	272.185	220.068	11.118	54.8491	44.2987	28.6188	8.80285	0.2177821	8.272924	0.5726663
360	-3052.7	-2852.22	-200.478	0.000115133	0.000460314	0.00055885	0.000457002	0.106431	1.32165	1.31924	1.59998	2.4769	10	10	10	10	10	10	10	10	10	10	38.8134	464.241	260.607	229.517	14.4961	47.1401	66.8166	12.4553	7.25167	0.2030921	8.272924	0.5240526
370	-3055.95	-2845.96	-209.992	0.000316894	0.000385368	0.000445466	0.000641712	0.1286831	1.10089	3.7619	1.26104	1.25012	10	10	10	10	10	10	10	10	10	10	38.2848	262.115	315.335	146.557	20.3585	49.5331	84.7213	23.9045	9.18373	0.2427388	8.272924	0.5301302
380	-3070.02	-2847.84	-222.182	8.98528e-05	0.000403702	0.000312251	0.000570039	0.2040157	2.18677	2.87907	1.62194	1.76102	10	10	10	10	10	10	10	10	10	10	37.2798	245.671	181.884	93.2814	16.1457	50.2999	112.383	12.4985	15.7721	0.3834536	8.272924	0.5320479
390	-3053.93	-2837.4	-216.535	0.000223878	0.000316329	0.000249389	0.000561469	0.1403054	1.8251	4.24007	2.94343	1.33531	10	10	10	10	10	10	10	10	10	10	37.0457	354.956	223.384	87.0171	14.1136	51.5746	103.654	14.2468	15.3839	0.2756789	8.272924	0.508945
400	-3053.44	-2845.14	-208.295	0.000234955	0.000771136	0.000432451	0.0006856	0.1523695	2.19631	2.40728	1.56065	1.41254	10	10	10	10	10	10	10	10	10	10	51.4049	352.473	267.638	65.0144	22.267	54.0459	109.642	6.15394	12.114	0.26424	8.272924	0.5766332
410	-3048.77	-2835.84	-212.932	0.000178745	0.000352552	0.000372381	0.000693163	0.2085464	2.15273	4.44075	3.39051	1.1458	10	10	10	10	10	10	10	10	10	10	66.9201	635.326	114.228	92.3963	22.0086	26.8767	163.664	10.6559	11.5026	0.2628094	8.272924	0.7935272
420	-3045.88	-2841.3	-204.578	0.000227928	0.000420873	0.00049154	0.00067618	0.4734415	0.864678	3.53512	1.57086	1.54374	10	10	10	10	10	10	10	10	10	10	44.2458	853.722	82.1906	66.5612	80.6499	13.0471	100.001	10.1993	7.65542	0.7059695	8.272924	0.670626
430	-3040.62	-2848.11	-192.511	0.000165097	0.000235565	0.000304082	0.000765446	0.1739622	2.82264	5.67335	1.86749	1.85089	10	10	10	10	10	10	10	10	10	10	57.7947	652.517	141.542	65.1197	70.314	6.58536	89.8677	10.1985	5.71267	0.2904201	8.272924	0.599002
440	-3061.41	-2851.84	-209.574	0.000151818	0.000517614	0.000437254	0.000587946	0.3427453	2.57029	1.71943	1.73342	2.42982	10	10	10	10	10	10	10	10	10	10	40.9753	211.509	218.167	64.848	33.6988	17.3198	224.592	32.723	7.09019	0.5488335	8.272924	0.6244978
450	-3091.41	-2865.64	-225.775	0.000299326	0.000205628	0.000342409	0.000550809	0.1377201	6.81976	6.80644	1.69655	0.975921	10	10	10	10	10	10	10	10	10	10	15.2633	205.057	85.7324	75.0113	31.8444	24.3753	296.4	28.7762	15.4496	0.3201101	8.272924	0.4302274
460	-3052.09	-2841.59	-210.5	0.000130528	0.000537235	0.00032728	0.000401353	0.1456424	2.31312	4.11317	1.77515	1.32192	10	10	10	10	10	10	10	10	10	10	18.1868	150.151	34.8678	122.196	19.31	14.2212	152.715	33.1627	11.4195	0.2321368	8.272924	0.6273991
470	-3048	-2839.37	-208.633	0.00019884	0.000308982	0.00043876	0.000510283	0.1443143	2.16574	1.91128	2.01889	1.40397	10	10	10	10	10	10	10	10	10	10	10.5527	103.042	25.8345	58.7714	26.8876	49.2036	235.379	32.4135	10.0784	0.3234589	8.272924	0.4461597
480	-3053.36	-2844.3	-209.062	0.000222111	0.000474129	0.00047584	0.000669249	1.071918	3.28712	2.7012	1.75573	1.21238	10	10	10	10	10	10	10	10	10	10	16.246	111.22	50.335	79.2426	43.0102	46.3475	136.524	30.9977	9.69633	0.8195777	8.272924	1.30789
490	-3039.74	-2844.76	-194.977	0.000211637	0.00045572	0.000736382	0.000688411	0.1031706	1.92111	2.48	1.3085	1.51055	10	10	10	10	10	10	10	10	10	10	20.8188	33.8234	31.6646	24.1781	20.4902	36.8962	73.0858	15.4874	7.30904	0.2556062	8.272924	0.4036311
500	-3036.94	-2846.26	-190.678	0.000173716	0.000503989	0.00043823	0.000668785	0.4025783	1.84489	0.738321	1.22534	1.03107	10	10	10	10	10	10	10	10	10	10	58.922	40.5445	43.3524	69.8892	55.2572	73.1133	39.2761	18.2371	5.76765	0.5551447	8.272924	0.7251773
510	-3049.48	-2846.15	-203.33	9.42373e-05	0.0004925	0.000465658	0.000696699	0.1694681	2.41461	2.20191	1.21647	1.97341	10	10	10	10	10	10	10	10	10	10	29.7563	38.5095	143.853	69.7497	14.5658	95.8611	47.5258	49.9135	9.64334	0.309276	8.272924	0.5479509
520	-3063.01	-2854.13	-208.873	0.000231041	0.000530924	0.000429367	0.000525628	0.09526998	1.36754	2.03464	2.58305	1.05951	10	10	10	10	10	10	10	10	10	10	26.364	129.895	220.564	32.262	15.5195	99.7735	37.8612	29.1309	11.0039	0.2566985	8.272924	0.3711358
530	-3055.3	-2848.14	-207.159	0.000236559	0.000293968	0.000537483	0.000824526	0.2137754	4.49814	3.09384	2.14243	1.74928	10	10	10	10	10	10	10	10	10	10	15.1226	330.939	153.521	28.9467	7.70388	43.5516	28.4875	32.6234	10.95	0.7301464	8.272924	0.2927844
540	-3049	-2849.13	-199.869	0.000267767	0.000335432	0.000666454	0.00051204	0.6362086	3.11536	2.96762	0.744418	1.19247	10	10	10	10	10	10	10	10	10	10	8.76182	265.559	103.536	54.9681	9.7709	42.2447	29.9055	32.9285	10.2289	0.7482217	8.272924	0.8502942
550	-3046.11	-2847.61	-198.499	0.00023948	0.000226775	0.000346308	0.000689861	0.0478025	2.72544	1.36243	2.16061	1.69927	10	10	10	10	10	10	10	10	10	10	5.49499	235.729	111.269	79.0784	35.6524	66.3565	36.0384	30.7413	8.24275	0.08413234	8.272924	0.5681822
560	-3048.08	-2845.57	-202.507	0.000194617	0.000387227	0.00073338	0.000750878	0.5197664	1.02518	2.9956	1.07111	2.29875	10	10	10	10	10	10	10	10	10	10	7.82337	325.269	73.7642	72.6477	51.4238	64.8899	33.8582	25.522	6.50124	0.734093	8.272924	0.7080389
570	-3038.07	-2845.06	-193.012	0.000108605	0.000420482	0.000474382	0.00103025	0.04115449	1.16806	3.30524	1.01304	0.89039	10	10	10	10	10	10	10	10	10	10	10.5265	110.948	117.831	158.272	133.236	23.1983	43.262	27.3873	5.28475	0.08977492	8.272924	0.4584186
580	-3053.22	-2851.62	-201.609	0.000162585	0.000385378	0.000721148	0.000811784	0.02347482	2.19204	1.69522	1.71304	1.31601	10	10	10	10	10	10	10	10	10	10	8.21476	91.7559	218.628	192.457	112.873	12.3587	31.0537	22.4166	6.99536	0.03694146	8.272924	0.6354601
590	-3039.57	-2844.55	-195.019	0.000237888	0.00037475	0.000359746	0.000699964	0.1492979	4.11279	1.70921	1.24589	1.74633	10	10	10	10	10	10	10	10	10	10	3.95692	85.6774	240.549	70.0012	108.6	8.49569	16.4734	36.5794	8.74274	0.2936812	8.272924	0.5083673
600	-3068.38	-2864.11	-204.27	0.000152246	0.000399568	0.000633227	0.000987272	0.5806899	0.786113	5.45005	1.40859	0.844333	10	10	10	10	10	10	10	10	10	10	45.168	46.9109	244.1	99.1898	118.393	6.1446	37.4514	22.4488	6.80738	0.6517377	8.272924	0.8909871
610	-3054.55	-2846.62	-207.93	0.000125652	0.000350269	0.000691837	0.000633508	0.3084964	3.39931	10.6249	2.35373	1.17976	10	10	10	10	10	10	10	10	10	10	130.41	52.7893	103.56	201.041	60.3896	18.2376	27.4115	173.892	10.268	0.6207325	8.272924	0.4969877
620	-3046.4	-2843.45	-202.951	0.000216458	0.000566934	0.000803568	0.000770415	0.2292251	1.62007	8.01528	1.04741	0.721475	10	10	10	10	10	10	10	10	10	10	48.3861	76.3603	101.366	89.1824	60.8339	161.021	19.1565	132.799	8.11618	0.4238953	8.272924	0.5407587
630	-3047.18	-2846.36	-200.816	0.000167683	0.00046044	0.000613205	0.000674273	0.0575987	1.57205	2.45998	0.666611	2.65213	10	10	10	10	10	10	10	10	10	10	92.4441	249.841	115.008	22.4737	88.1904	245.319	7.36089	440.676	8.013	0.1378902	8.272924	0.4177143
640	-3038.21	-2840.28	-197.929	0.000158146	0.000399246	0.000491154	0.000622502	0.1214083	3.41899	2.00063	1.68196	1.75863	10	10	10	10	10	10	10	10	10	10	271.939	117.028	171.525	33.5366	207.034	294.943	7.68585	284.497	9.08077	0.2285012	8.272924	0.5313246
650	-3052.49	-2840.44	-212.048	0.000146516	0.000347613	0.000434167	0.000599764	0.000516673	4.63709	2.18696	3.24883	1.86173	10	10	10	10	10	10	10	10	10	10	107.811	141.591	64.9522	26.326	201.248	72.7227	15.101	138.86	11.2544	0.001854575	8.272924	0.2785937
660	-3031.96	-2843.22	-188.736	0.000180296	0.000363932	0.000409182	0.000621148	0.11414	2.32769	2.23912	3.3538	0.852266	10	10	10	10	10	10	10	10	10	10	254.558	32.4319	67.8552	24.9818	163.863	159.585	4.90309	39.291	13.7678	0.2466454	8.272924	0.4627694
670	-3032.4	-2848.11	-184.293	0.000143575	0.000293286	0.000455734	0.000883158	0.1204351	3.33872	1.63202	1.99292	0.8581	10	10	10	10	10	10	10	10	10	10	100.958	73.8046	16.7212	41.5551	128.971	57.9077	1.82463	18.449	10.3008	0.2989073	8.272924	0.4029177
680	-3037.35	-2845.95	-191.395	0.000109736	0.000467356	0.000558238	0.000579863	0.05467049	2.59098	1.44855	1.46286	1.50613	10	10	10	10	10	10	10	10	10	10	177.873	159.939	49.9767	10.9799	44.2646	28.8707	3.86797	221.828	12.1008	0.1365017	8.272924	0.4005115
690	-3036.25	-2845.1	-191.145	0.000226017	0.000292578	0.000294189	0.000621042	0.1386484	1.81406	1.72944	1.15978	1.32615	10	10	10	10	10	10	10	10	10	10	63.6576	258.1	4.28354	39.1611	52.5338	115.972	4.55611	149.181	10.7996	0.2622243	8.272924	0.5287397
700	-3042.67	-2844.83	-197.84	0.000175677	0.000515499	0.000529223	0.000697661	0.09344489	1.79612	4.87868	1.40521	1.63407	10	10	10	10	10	10	10	10	10	10	37.891	94.9148	8.45129	26.7342	17.6404	488.595	4.55223	77.7345	11.1738	0.1577176	8.272924	0.5924822
710	-3028.31	-2847.49	-180.815	0.000120444	0.000452251	0.000502536	0.000838173	0.08978785	1.77054	3.80307	1.98018	1.25984	10	10	10	10	10	10	10	10	10	10	74.8062	114.519	12.6634	1.95546	31.9496	132.058	1.84281	33.9045	6.31059	0.1321753	8.272924	0.6793089
720	-3022.1	-2851.34	-170.759	0.000140764	0.000316455	0.000415362	0.000624476	0.02265637	1.11936	2.73464	1.91963	1.1519	10	10	10	10	10	10	10	10	10	10	41.1626	27.754	11.091	0.973908	72.4047	65.1958	0.534895	34.6331	8.99557	0.06163747	8.272924	0.3675746
730	-3031.76	-2839.27	-192.49	0.000188976	0.000570018	0.000421654	0.000798393	0.02274438	1.86974	2.10915	1.31286	1.39253	10	10	10	10	10	10	10	10	10	10	86.6359	63.6873	150.965	15.5256	10.4176	199.437	2.24608	196.592	10.3828	0.05899858	8.272924	0.3855072
740	-3037.23	-2840.12	-197.104	0.000230735	0.000565454	0.000385233	0.000950227	0.2872865	2.44742	2.03639	1.58551	1.76014	10	10	10	10	10	10	10	10	10	10	83.6368	44.6653	181.514	75.8298	11.9337	122.748	1.07199	228.051	14.5898	0.4559607	8.272924	0.6300686
750	-3040.81	-2838.75	-202.064	0.000125588	0.000389062	0.000715476	0.000785203	0.04466731	2.61944	2.33329	3.41156	1.89617	10	10	10	10	10	10	10	10	10	10	199.481	33.6888	84.1478	27.576	19.2395	25.1712	10.2604	161.062	7.985	0.0826089	8.272924	0.5407082
760	-3043.96	-2835.2	-208.764	0.00022228	0.000600975	0.000706525	0.000757086	0.07067774	2.93893	4.53492	2.6188	1.50365	10	10	10	10	10	10	10	10	10	10	572.903	91.7917	47.2458	6.05751	17.3333	38.5669	62.7258	48.9964	6.35103	0.1214913	8.272924	0.5817515
770	-3038.9	-2843.36	-195.534	0.000359095	0.000574794	0.000598758	0.0015606	0.4761315	1.98166	1.55716	2.79059	2.38697	10	10	10	10	10	10	10	10	10	10	180.117	85.5255	29.788	65.875	13.9225	32.5948	136.05	210.219	5.6613	0.5047771	8.272924	0.9432509
780	-3044.81	-2845.9	-198.912	0.000140067	0.000645512	0.000490513	0.00123032	0.2840073	1.48163	6.90923	3.5204	1.28846	10	10	10	10	10	10	10	10	10	10	26.5134	35.2585	101.887	7.45869	8.44878	54.712	29.9992	99.3087	13.7516	0.524812	8.272924	0.5411599
790	-3046.6	-2849.35	-197.257	0.000313516	0.000627914	0.000586897	0.000906508	0.05909182	2.4303	3.8401	2.98201	0.731263	10	10	10	10	10	10	10	10	10	10	133.221	8.22258	40.7144	16.2833	13.6664	79.5685	53.1185	134.076	6.40432	0.1104055	8.272924	0.5352252
800	-3043.68	-2841.11	-202.574	0.000149896	0.000375691	0.000753938	0.000839955	0.09542101	3.53689	3.9875	1.31575	1.64534	10	10	10	10	10	10	10	10	10	10	318.847	12.0561	109.195	32.4313	13.943	57.1741	29.5367	108.437	5.80033	0.214262	8.272924	0.4453473
810	-3053.93	-2842.99	-210.937	0.000227815	0.00043217	0.000440729	0.000669851	1.355522	5.32259	2.09573	1.36865	1.23233	10	10	10	10	10	10	10	10	10	10	83.8513	44.133	74.446	32.0616	13.5666	80.6703	196.69	456.796	11.0241	0.877523	8.272924	1.544714
820	-3045.11	-2850.64	-194.472	0.00030688	0.000618285	0.00106831	0.000844412	0.2659495	2.21039	8.25827	5.49922	1.78787	10	10	10	10	10	10	10	10	10	10	133.248	32.1216	153.323	308.06	5.98823	55.8621	5.62375	115.422	6.71565	0.4551376	8.272924	0.5843277
830	-3040	-2837.55	-202.448	0.000206204	0.000304976	0.000562115	0.000942753	0.2614141	4.06655	2.09386	2.28099	1.47626	10	10	10	10	10	10	10	10	10	10	30.7288	251.936	91.423	210.33	9.05279	173.877	149.773	42.8837	12.6495	0.4076812	8.272924	0.6412218
840	-3029.42	-2847.32	-182.1	0.000180153	0.000658258	0.000632029	0.000845301	0.4366796	4.02699	2.894	1.02009	1.88094	10	10	10	10	10	10	10	10	10	10	88.633	143.688	174.386	57.2553	5.78203	104.656	20.4717	62.334	5.63984	0.7001047	8.272924	0.6237346
850	-3026.24	-2838.99	-187.252	0.000303427	0.000440795	0.000628703	0.000657144	0.0948401	1.13525	2.7563	4.28341	1.72127	10	10	10	10	10	10	10	10	10	10	13.93	153.405	107.429	26.9381	5.41283	318.463	132.579	180.866	4.93379	0.1639731	8.272924	0.578388
860	-3052.32	-2849.76	-202.565	0.000261223	0.000563186	0.000423068	0.00114537	0.329862	4.162	3.08232	0.957768	1.67747	10	10	10	10	10	10	10	10	10	10	44.8814	638.938	144.705	178.782	6.24908	32.818	148.463	67.4865	11.0689	0.4838837	8.272924	0.6816969
870	-3015.69	-2844.42	-171.264	0.000212252	0.000264802	0.000790692	0.000785031	0.263978	0.793487	3.98686	0.838754	1.36126	10	10	10	10	10	10	10	10	10	10	210.959	119.965	178.037	174.669	2.95931	75.8367	12.1072	122.672	4.22764	0.458271	8.272924	0.5760304
880	-3024.19	-2850.38	-173.819	0.000319422	0.000753672	0.0007654	0.000909932	0.2599383	2.36502	3.02073	2.1054	1.18663	10	10	10	10	10	10	10	10	10	10	49.8358	104.326	505.373	18.2748	3.96408	192.434	197.797	130.673	3.45008	0.3621731	8.272924	0.7177185
890	-3033.61	-2840.28	-193.328	0.000191439	0.000518236	0.000583413	0.0011768	0.8061084	1.18793	3.3831	0.960866	1.21089	10	10	10	10	10	10	10	10	10	10	60.8729	9.96552	58.3341	25.3377	5.22715	182.876	126.017	69.1471	8.59504	0.8964773	8.272924	0.8991956
900	-3016.72	-2843.72	-173.007	0.000325	0.000545943	0.00100004	0.000863776	0.3659408	1.75259	3.08873	1.44	1.82131	10	10	10	10	10	10	10	10	10	10	249.173	97.8957	40.9718	10.9703	8.24516	254.251	226.948	37.1451	2.6707	0.5062476	8.272924	0.7228495
910	-3026.47	-2847.53	-178.934	0.000313361	0.000632323	0.000499445	0.000619021	0.147837	2.33554	1.33861	2.68589	2.63735	10	10	10	10	10	10	10	10	10	10	125.3	159.744	100.544	26.1162	9.84696	143.474	26.6222	11.1969	5.12647	0.221764	8.272924	0.6666408
