Iteration	Replicate_ID	Posterior	Likelihood	Prior	clock_rate[1]	clock_rate[2]	clock_rate[3]	clock_rate[4]	extinction	kappa[1]	kappa[2]	kappa[3]	kappa[4]	Ne[1]	Ne[2]	Ne[3]	Ne[4]	Ne[5]	Ne[6]	Ne[7]	Ne[8]	Ne[9]	Ne[10]	Ne[11]	Ne[12]	Ne[13]	Ne[14]	Ne[15]	Ne[16]	Ne[17]	Ne[18]	Ne[19]	relativeExtinction	root	speciation
36	0	-3052.7	-2852.22	-200.478	0.000115133	0.000460314	0.00055885	0.000457002	0.106431	1.32165	1.31924	1.59998	2.4769	10	10	10	10	10	10	10	10	10	10	38.8134	464.241	260.607	229.517	14.4961	47.1401	66.8166	12.4553	7.25167	0.2030921	8.272924	0.5240526
37	0	-3055.95	-2845.96	-209.992	0.000316894	0.000385368	0.000445466	0.000641712	0.1286831	1.10089	3.7619	1.26104	1.25012	10	10	10	10	10	10	10	10	10	10	38.2848	262.115	315.335	146.557	20.3585	49.5331	84.7213	23.9045	9.18373	0.2427388	8.272924	0.5301302
38	0	-3070.02	-2847.84	-222.182	8.98528e-05	0.000403702	0.000312251	0.000570039	0.2040157	2.18677	2.87907	1.62194	1.76102	10	10	10	10	10	10	10	10	10	10	37.2798	245.671	181.884	93.2814	16.1457	50.2999	112.383	12.4985	15.7721	0.3834536	8.272924	0.5320479
39	0	-3053.93	-2837.4	-216.535	0.000223878	0.000316329	0.000249389	0.000561469	0.1403054	1.8251	4.24007	2.94343	1.33531	10	10	10	10	10	10	10	10	10	10	37.0457	354.956	223.384	87.0171	14.1136	51.5746	103.654	14.2468	15.3839	0.2756789	8.272924	0.508945
40	0	-3053.44	-2845.14	-208.295	0.000234955	0.000771136	0.000432451	0.0006856	0.1523695	2.19631	2.40728	1.56065	1.41254	10	10	10	10	10	10	10	10	10	10	51.4049	352.473	267.638	65.0144	22.267	54.0459	109.642	6.15394	12.114	0.26424	8.272924	0.5766332
41	0	-3048.77	-2835.84	-212.932	0.000178745	0.000352552	0.000372381	0.000693163	0.2085464	2.15273	4.44075	3.39051	1.1458	10	10	10	10	10	10	10	10	10	10	66.9201	635.326	114.228	92.3963	22.0086	26.8767	163.664	10.6559	11.5026	0.2628094	8.272924	0.7935272
42	0	-3045.88	-2841.3	-204.578	0.000227928	0.000420873	0.00049154	0.00067618	0.4734415	0.864678	3.53512	1.57086	1.54374	10	10	10	10	10	10	10	10	10	10	44.2458	853.722	82.1906	66.5612	80.6499	13.0471	100.001	10.1993	7.65542	0.7059695	8.272924	0.670626
43	0	-3040.62	-2848.11	-192.511	0.000165097	0.000235565	0.000304082	0.000765446	0.1739622	2.82264	5.67335	1.86749	1.85089	10	10	10	10	10	10	10	10	10	10	57.7947	652.517	141.542	65.1197	70.314	6.58536	89.8677	10.1985	5.71267	0.2904201	8.272924	0.599002
44	0	-3061.41	-2851.84	-209.574	0.000151818	0.000517614	0.000437254	0.000587946	0.3427453	2.57029	1.71943	1.73342	2.42982	10	10	10	10	10	10	10	10	10	10	40.9753	211.509	218.167	64.848	33.6988	17.3198	224.592	32.723	7.09019	0.5488335	8.272924	0.6244978
45	0	-3091.41	-2865.64	-225.775	0.000299326	0.000205628	0.000342409	0.000550809	0.1377201	6.81976	6.80644	1.69655	0.975921	10	10	10	10	10	10	10	10	10	10	15.2633	205.057	85.7324	75.0113	31.8444	24.3753	296.4	28.7762	15.4496	0.3201101	8.272924	0.4302274
